,Date,Value,Anomaly,state
441,198509,3.15,-0.72,Unnamed: 0
442,198609,3.83,-0.04,Unnamed: 0
443,198709,2.94,-0.93,Unnamed: 0
444,198809,9.15,5.28,Unnamed: 0
445,198909,4.80,0.93,Unnamed: 0
446,199009,1.90,-1.97,Unnamed: 0
447,199109,3.27,-0.60,Unnamed: 0
448,199209,3.61,-0.26,Unnamed: 0
449,199309,3.83,-0.04,Unnamed: 0
450,199409,3.61,-0.26,Unnamed: 0
451,199509,3.09,-0.78,Unnamed: 0
452,199609,5.71,1.84,Unnamed: 0
453,199709,3.30,-0.57,Unnamed: 0
454,199809,8.29,4.42,Unnamed: 0
455,199909,1.91,-1.96,Unnamed: 0
456,200009,3.49,-0.38,Unnamed: 0
457,200109,4.80,0.93,Unnamed: 0
458,200209,7.57,3.70,Unnamed: 0
459,200309,3.70,-0.17,Unnamed: 0
460,200409,6.63,2.76,Unnamed: 0
461,200509,3.29,-0.58,Unnamed: 0
462,200609,3.53,-0.34,Unnamed: 0
463,200709,3.11,-0.76,Unnamed: 0
464,200809,1.65,-2.22,Unnamed: 0
465,200909,7.57,3.70,Unnamed: 0
466,201009,1.61,-2.26,Unnamed: 0
467,201109,7.21,3.34,Unnamed: 0
468,196010,3.38,0.49,Unnamed: 0
469,196110,0.96,-1.93,Unnamed: 0
470,196210,2.60,-0.29,Unnamed: 0
471,196310,0.03,-2.86,Unnamed: 0
472,196410,4.85,1.96,Unnamed: 0
473,196510,2.86,-0.03,Unnamed: 0
474,196610,4.08,1.19,Unnamed: 0
475,196710,4.01,1.12,Unnamed: 0
476,196810,1.37,-1.52,Unnamed: 0
477,196910,2.58,-0.31,Unnamed: 0
478,197010,6.33,3.44,Unnamed: 0
479,197110,1.09,-1.80,Unnamed: 0
480,197210,2.95,0.06,Unnamed: 0
481,197310,1.89,-1.00,Unnamed: 0
482,197410,1.27,-1.62,Unnamed: 0
483,197510,6.55,3.66,Unnamed: 0
484,197610,3.66,0.77,Unnamed: 0
485,197710,4.51,1.62,Unnamed: 0
486,197810,0.46,-2.43,Unnamed: 0
487,197910,1.56,-1.33,Unnamed: 0
488,198010,3.77,0.88,Unnamed: 0
489,198110,3.11,0.22,Unnamed: 0
490,198210,2.68,-0.21,Unnamed: 0
491,198310,2.44,-0.45,Unnamed: 0
492,198410,5.22,2.33,Unnamed: 0
493,198510,6.00,3.11,Unnamed: 0
494,198610,4.30,1.41,Unnamed: 0
495,198710,0.59,-2.30,Unnamed: 0
496,198810,3.19,0.30,Unnamed: 0
497,198910,3.03,0.14,Unnamed: 0
498,199010,2.66,-0.23,Unnamed: 0
499,199110,0.91,-1.98,Unnamed: 0
500,199210,2.59,-0.30,Unnamed: 0
501,199310,3.71,0.82,Unnamed: 0
502,199410,4.97,2.08,Unnamed: 0
503,199510,9.30,6.41,Unnamed: 0
504,199610,2.38,-0.51,Unnamed: 0
505,199710,5.10,2.21,Unnamed: 0
506,199810,1.37,-1.52,Unnamed: 0
507,199910,3.39,0.50,Unnamed: 0
508,200010,0.80,-2.09,Unnamed: 0
509,200110,3.27,0.38,Unnamed: 0
510,200210,5.58,2.69,Unnamed: 0
511,200310,1.61,-1.28,Unnamed: 0
512,200410,3.87,0.98,Unnamed: 0
513,200510,0.61,-2.28,Unnamed: 0
514,200610,5.13,2.24,Unnamed: 0
515,200710,3.92,1.03,Unnamed: 0
516,200810,3.02,0.13,Unnamed: 0
517,200910,7.18,4.29,Unnamed: 0
518,201010,2.59,-0.30,Unnamed: 0
519,201110,0.79,-2.10,Unnamed: 0
520,196011,2.17,-1.98,Unnamed: 0
521,196111,4.50,0.35,Unnamed: 0
522,196211,4.76,0.61,Unnamed: 0
523,196311,4.31,0.16,Unnamed: 0
524,196411,3.79,-0.36,Unnamed: 0
525,196511,1.83,-2.32,Unnamed: 0
526,196611,3.35,-0.80,Unnamed: 0
527,196711,3.76,-0.39,Unnamed: 0
528,196811,4.31,0.16,Unnamed: 0
529,196911,1.90,-2.25,Unnamed: 0
530,197011,2.20,-1.95,Unnamed: 0
531,197111,2.49,-1.66,Unnamed: 0
532,197211,4.66,0.51,Unnamed: 0
533,197311,4.95,0.80,Unnamed: 0
534,197411,3.94,-0.21,Unnamed: 0
535,197511,3.27,-0.88,Unnamed: 0
536,197611,4.41,0.26,Unnamed: 0
537,197711,6.31,2.16,Unnamed: 0
538,197811,3.30,-0.85,Unnamed: 0
539,197911,5.80,1.65,Unnamed: 0
540,198011,3.17,-0.98,Unnamed: 0
541,198111,1.75,-2.40,Unnamed: 0
542,198211,5.62,1.47,Unnamed: 0
543,198311,7.47,3.32,Unnamed: 0
544,198411,3.90,-0.25,Unnamed: 0
545,198511,2.91,-1.24,Unnamed: 0
546,198611,8.86,4.71,Unnamed: 0
547,198711,4.04,-0.11,Unnamed: 0
548,198811,5.41,1.26,Unnamed: 0
549,198911,6.06,1.91,Unnamed: 0
550,199011,2.94,-1.21,Unnamed: 0
551,199111,4.37,0.22,Unnamed: 0
552,199211,9.48,5.33,Unnamed: 0
553,199311,3.88,-0.27,Unnamed: 0
554,199411,3.50,-0.65,Unnamed: 0
555,199511,5.80,1.65,Unnamed: 0
556,199611,3.46,-0.69,Unnamed: 0
557,199711,5.70,1.55,Unnamed: 0
558,199811,3.30,-0.85,Unnamed: 0
559,199911,2.61,-1.54,Unnamed: 0
560,200011,7.70,3.55,Unnamed: 0
561,200111,3.43,-0.72,Unnamed: 0
562,200211,4.88,0.73,Unnamed: 0
563,200311,4.67,0.52,Unnamed: 0
564,200411,8.12,3.97,Unnamed: 0
565,200511,3.59,-0.56,Unnamed: 0
566,200611,4.84,0.69,Unnamed: 0
567,200711,2.75,-1.40,Unnamed: 0
568,200811,3.15,-1.00,Unnamed: 0
569,200911,4.39,0.24,Unnamed: 0
570,201011,4.73,0.58,Unnamed: 0
571,201111,4.13,-0.02,Unnamed: 0
572,196012,2.60,-2.47,Unnamed: 0
573,196112,12.21,7.14,Unnamed: 0
574,196212,2.97,-2.10,Unnamed: 0
575,196312,4.84,-0.23,Unnamed: 0
