Unmaned:0,Date,Value,Anomaly,state
400,199604,51.4,-1.9,Georgia
401,199704,55.7,2.4,Georgia
402,199804,54,0.7,Georgia
403,199904,55.5,2.2,Georgia
404,200004,54.4,1.1,Georgia
405,200104,53.7,0.4,Georgia
406,200204,55.3,2,Georgia
407,200304,53.2,-0.1,Georgia
408,200404,53.1,-0.2,Georgia
409,200504,53.7,0.4,Georgia
410,200604,55.6,2.3,Georgia
411,200704,54.2,0.9,Georgia
412,200804,53.5,0.2,Georgia
413,200904,53.1,-0.2,Georgia
414,201004,50.1,-3.2,Georgia
415,201104,54.1,0.8,Georgia
416,196004,28.6,-1.9,Idaho
417,196104,32.8,2.3,Idaho
418,196204,29,-1.5,Idaho
419,196304,31.2,0.7,Idaho
420,196404,26.2,-4.3,Idaho
421,196504,31.2,0.7,Idaho
422,196604,30.8,0.3,Idaho
423,196704,31.7,1.2,Idaho
424,196804,31.8,1.3,Idaho
425,196904,29.9,-0.6,Idaho
426,197004,31.3,0.8,Idaho
427,197104,30.4,-0.1,Idaho
428,197204,31,0.5,Idaho
429,197304,29.7,-0.8,Idaho
430,197404,30.5,0,Idaho
431,197504,27.6,-2.9,Idaho
432,197604,29.2,-1.3,Idaho
433,197704,30.9,0.4,Idaho
434,197804,33.9,3.4,Idaho
435,197904,27.7,-2.8,Idaho
436,198004,32.3,1.8,Idaho
437,198104,34.3,3.8,Idaho
438,198204,28.3,-2.2,Idaho
439,198304,33.2,2.7,Idaho
440,198404,28.7,-1.8,Idaho
441,198504,26.8,-3.7,Idaho
442,198604,34.4,3.9,Idaho
443,198704,33.5,3,Idaho
444,198804,32.2,1.7,Idaho
445,198904,29.5,-1,Idaho
446,199004,33.5,3,Idaho
447,199104,32,1.5,Idaho
448,199204,36.8,6.3,Idaho
449,199304,29.1,-1.4,Idaho
450,199404,33.8,3.3,Idaho
451,199504,33.4,2.9,Idaho
452,199604,31.8,1.3,Idaho
453,199704,31,0.5,Idaho
454,199804,33.2,2.7,Idaho
455,199904,31.7,1.2,Idaho
456,200004,34.4,3.9,Idaho
457,200104,31.2,0.7,Idaho
458,200204,29.7,-0.8,Idaho
459,200304,33.9,3.4,Idaho
460,200404,33.3,2.8,Idaho
461,200504,33.2,2.7,Idaho
462,200604,31.9,1.4,Idaho
463,200704,33.4,2.9,Idaho
464,200804,28.5,-2,Idaho
465,200904,31.2,0.7,Idaho
466,201004,33.1,2.6,Idaho
467,201104,29.5,-1,Idaho
468,196004,33.6,-2.9,Illinois
469,196104,36.7,0.2,Illinois
470,196204,33.9,-2.6,Illinois
471,196304,34.1,-2.4,Illinois
472,196404,37.9,1.4,Illinois
473,196504,34.7,-1.8,Illinois
474,196604,35.1,-1.4,Illinois
475,196704,37.9,1.4,Illinois
476,196804,36.2,-0.3,Illinois
477,196904,35.2,-1.3,Illinois
478,197004,33.8,-2.7,Illinois
479,197104,34.9,-1.6,Illinois
480,197204,35.3,-1.2,Illinois
481,197304,39.4,2.9,Illinois
482,197404,38.7,2.2,Illinois
483,197504,35.4,-1.1,Illinois
484,197604,40.1,3.6,Illinois
485,197704,35.5,-1,Illinois
486,197804,29.8,-6.7,Illinois
487,197904,29.7,-6.8,Illinois
488,198004,33.7,-2.8,Illinois
489,198104,38.7,2.2,Illinois
490,198204,31.9,-4.6,Illinois
491,198304,37.7,1.2,Illinois
492,198404,35.3,-1.2,Illinois
493,198504,36,-0.5,Illinois
494,198604,38.9,2.4,Illinois
495,198704,40,3.5,Illinois
496,198804,35.5,-1,Illinois
497,198904,37.2,0.7,Illinois
498,199004,41.8,5.3,Illinois
499,199104,39.4,2.9,Illinois
500,199204,40.5,4,Illinois
501,199304,35.2,-1.3,Illinois
502,199404,35.3,-1.2,Illinois
503,199504,37.3,0.8,Illinois
504,199604,34.5,-2,Illinois
505,199704,36.4,-0.1,Illinois
506,199804,41.3,4.8,Illinois
507,199904,38.8,2.3,Illinois
508,200004,40.6,4.1,Illinois
509,200104,37.8,1.3,Illinois
510,200204,39.9,3.4,Illinois
511,200304,36.1,-0.4,Illinois
512,200404,38.6,2.1,Illinois
513,200504,39.9,3.4,Illinois
514,200604,42,5.5,Illinois
515,200704,37.6,1.1,Illinois
516,200804,35.8,-0.7,Illinois
517,200904,37,0.5,Illinois
518,201004,37.4,0.9,Illinois
519,201104,36.9,0.4,Illinois
520,196004,34.4,-2.1,Indiana
521,196104,36.4,-0.1,Indiana
522,196204,34.6,-1.9,Indiana
523,196304,33.7,-2.8,Indiana
524,196404,37.6,1.1,Indiana
525,196504,35,-1.5,Indiana
526,196604,35.2,-1.3,Indiana
527,196704,37.4,0.9,Indiana
528,196804,35.4,-1.1,Indiana
529,196904,35.3,-1.2,Indiana
530,197004,33.7,-2.8,Indiana
531,197104,34.2,-2.3,Indiana
532,197204,35.4,-1.1,Indiana
533,197304,39.4,2.9,Indiana
534,197404,38.7,2.2,Indiana
535,197504,36.2,-0.3,Indiana
536,197604,40,3.5,Indiana
537,197704,34.6,-1.9,Indiana
538,197804,29.2,-7.3,Indiana
539,197904,31.1,-5.4,Indiana
540,198004,33.5,-3,Indiana
541,198104,37.2,0.7,Indiana
542,198204,32.3,-4.2,Indiana
543,198304,38,1.5,Indiana
544,198404,34.5,-2,Indiana
545,198504,36.2,-0.3,Indiana
546,198604,38.7,2.2,Indiana
547,198704,38.9,2.4,Indiana
548,198804,35.4,-1.1,Indiana
549,198904,37.9,1.4,Indiana
550,199004,42,5.5,Indiana
551,199104,39.6,3.1,Indiana
552,199204,39.7,3.2,Indiana
553,199304,35.7,-0.8,Indiana
554,199404,35.1,-1.4,Indiana
555,199504,37.8,1.3,Indiana
556,199604,34.5,-2,Indiana
557,199704,36.8,0.3,Indiana
558,199804,42,5.5,Indiana
559,199904,38.4,1.9,Indiana
560,200004,39.8,3.3,Indiana
561,200104,38.5,2,Indiana
562,200204,40.3,3.8,Indiana
563,200304,35.7,-0.8,Indiana
564,200404,38,1.5,Indiana
565,200504,39,2.5,Indiana
566,200604,41.8,5.3,Indiana
567,200704,37.2,0.7,Indiana
568,200804,36.7,0.2,Indiana
569,200904,37.3,0.8,Indiana
570,201004,37.6,1.1,Indiana
571,201104,37.4,0.9,Indiana
572,196004,26.8,-4,Iowa
573,196104,31,0.2,Iowa
574,196204,26.8,-4,Iowa
575,196304,29.2,-1.6,Iowa
576,196404,33.1,2.3,Iowa
577,196504,26.3,-4.5,Iowa
